"Countries_and_areas","Gov_Expend_percent_TOTAL","Gov_Expend_percent_HEALTH","Gov_Expend_percent_EDUCATION","Gov_Expend_percent_SOC_Protection","SIGI_2019","LegalFramework_gender_equal_employment","Maternity_Leave","Paternity_Leave","Edu_Attain_Up_Secondary_Male","Edu_Attain_Up_Secondary_Female","LF_partic_rate_Male_Rural","LF_partic_rate_Male_Urban","LF_partic_rate_Male_Total","LF_partic_rate_Female_Rural","LF_partic_rate_Female_Urban","LF_partic_rate_Female_Total","Mobile_phone_ownership_MALE","Mobile_phone_ownership_FEMALE","Financial_Inclusion_Male","Financial_Inclusion_Female","Life_Expectancy_female_2020","Adolescent_birth_rate_2015to2020","Antenatal_care_at_least_ONE_VISIT","Antenatal_care_at_least_FOUR_VISITS","Maternal_Mortality_Ratio_2017","SIGI_num","Mat_Leave","Pat_Leave"
"Bhutan",18.29532223,2.43216681,6.850840092,NA,NA,NA,"No","Yes",20.41818,13.78464,72.9,76.2,73.9,64.4,48.7,59.5,NA,NA,38.99,27.68,72.5,59,97.9,85,183,NA,0,1
"Bolivia (Plurinational State of)",18.143092,4.48434305,NA,NA,"Low",70,"No","Yes",46.46395,39.01879,93.1,75.4,80.6,77.9,58.2,63.7,NA,NA,54.98,53.85,74.8,71,95.6,85.6,155,2,0,1
"Bosnia and Herzegovina",19.4788404,6.21318245,NA,NA,"Low",NA,"Yes","Yes",75.38995,52.49987,58.4,57.6,58.1,34,42,37.4,NA,NA,63.18,54.74,80,10.1,87,84.2,10,2,1,1
"Botswana",18.42865015,4.53097391,NA,NA,NA,NA,"No","No",NA,NA,77.9,75.3,76.4,63,66.9,65.3,NA,NA,56.21,46.79,72.6,51.9,94.1,73.3,144,NA,0,0
"Brazil",20.28256559,3.96481943,6.32254982,NA,"Low",80,"Yes","Yes",45.06645,49.50601,67.7,75.5,74.4,38.1,57.5,55.1,83.14,85.79,72.85,67.51,79.7,49.1,97.2,92.3,60,2,1,1
"Brunei Darussalam",25.04039622,2.29566693,4.425409794,NA,NA,NA,"No","No",NA,NA,68,74.1,72.7,52.9,57.2,56.1,90.87,98.7,NA,NA,77.3,9.9,99,93.2,31,NA,0,0
"Bulgaria",16.79017552,4.23436928,4.09250021,"11.636365250000001","Low",100,"Yes","Yes",77.67054,75.33677,56.4,66.8,63.6,39.6,54.8,50.4,NA,NA,70.62,73.64,78.8,38.9,NA,NA,10,2,1,1
"Burkina Faso",19.01860644,2.3925395,5.383790016,NA,"Medium",NA,"Yes","Yes",4.29634,1.57192,76.9,69.7,74.7,59.6,55.5,58.5,NA,NA,51.28,34.5,62.7,132.3,92.8,47.2,320,3,1,1
"Burundi",27.63866828,1.90243125,5.078649998,NA,NA,NA,"No","Yes",7.57016,3.83777,79.3,70,77.9,83.7,57.6,80.5,25.34,11.87,7.5,6.73,63.7,58.2,99.2,49.3,548,NA,0,1
"Cabo Verde",17.61331257,3.22480845,5.181749821,NA,NA,70,"No","Yes",20.28752,19.80815,60.6,70.6,67.3,40,59.9,53.4,72.53,70.83,NA,NA,76.4,12,98.8,85.7,58,NA,0,1
"Cambodia",4.806798236,1.28203905,2.162859917,NA,"Low",NA,"No","No",15.38647,4.65724,89.1,83.8,87.6,80,68.7,76.9,32.26,33.08,21.85,21.53,72.2,30,95.3,75.6,160,2,0,0
"Cameroon",10.86084268,0.21037169,3.131200075,NA,"Very high",50,"Yes","Yes",NA,NA,83.5,78.1,81,78.1,62.8,71.3,NA,NA,39.24,30.03,60.9,122.2,87,64.9,529,5,1,1
"Canada",21.16648538,7.93011045,5.274439812,"11.20862303","Very low",NA,"Yes","Yes",84.02371,84.88738,67.9,70.6,70.1,59.3,61.5,61.1,NA,NA,99.59,99.85,84.5,6.6,100,99,10,1,1,1
